priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,title,slug,sourceUid,sourceUrl,mainImageUrl,reason
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,23.87,FE303SPACER-10,"Hilux 3.0L D4D Turbo, 10mmm Spacer For Manual Bell Housing Bracket.",fe303spacer-10-hilux-3-0l-d4d-turbo-10mmm-spacer-for-manual-bell-housing-bracket,MPI_FE303SPACER-10,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,23.10,ALB25045-SF2,2 1/2in (63.5mm) 45deg Aluminised Mandrel Bend. Slotted & flared both ends.,alb25045-sf2-2-1-2in-63-5mm-45deg-aluminised-mandrel-bend-slotted-and-flared-both-ends,MPI_ALB25045-SF2,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,23.10,FLEX178-4L,1 7/8in ID x 75mm (4in) Stainless Steel Flex Bellow,flex178-4l-1-7-8in-id-x-75mm-4in-stainless-steel-flex-bellow,MPI_FLEX178-4L,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,23.10,FX-RDF300SS,3in 3 Bolt Collector Flange Plate. 86mm Bolt Centres Stainless Steel,fx-rdf300ss-3in-3-bolt-collector-flange-plate-86mm-bolt-centres-stainless-steel,MPI_FX-RDF300SS,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,23.10,SLF3500,89mm (3.5in) EXPANDED LIPPED FLANGE 20° MILD STEEL,slf3500-89mm-3-5in-expanded-lipped-flange-20-mild-steel,MPI_SLF3500,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,23.10,SSB4-20030,2in (50.8mm) 30deg Std Leg 409g Stainless Mandrel Bend,ssb4-20030-2in-50-8mm-30deg-std-leg-409g-stainless-mandrel-bend,MPI_SSB4-20030,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,22.29,FDG173,"Ford Raptor Ranger, Turbo Face Dome Joiner Gasket",fdg173-ford-raptor-ranger-turbo-face-dome-joiner-gasket,MPI_FDG173,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,22.00,EXB2025,51-63mm (2in-2.5in) EXPANDED ADAPTOR MILD STEEL,exb2025-51-63mm-2in-2-5in-expanded-adaptor-mild-steel,MPI_EXB2025,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,22.00,FE186-4,"4 Bolt Flange 3in Centre Bore, 73.5mm Bolt Hole Centres, 4mm Shim Spacer To Suit FE186-10 & FE182-10",fe186-4-4-bolt-flange-3in-centre-bore-73-5mm-bolt-hole-centres-4mm-shim-spacer-to-suit-fe186-10-and-fe182-10,MPI_FE186-4,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,22.00,SLF3000,76mm (3in) EXPANDED LIPPED FLANGE 20° MILD STEEL,slf3000-76mm-3in-expanded-lipped-flange-20-mild-steel,MPI_SLF3000,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,21.89,EXBX2530,63-76mm (2.5in-3in) EXPANDED ADAPTOR MILD STEEL NOTCHED END,exbx2530-63-76mm-2-5in-3in-expanded-adaptor-mild-steel-notched-end,MPI_EXBX2530,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,MPI Automotive,mpi,fasteners-fittings,standard,20.79,ALB15045,1 1/2in (38.1mm) 45deg Aluminised Mandrel Bend,alb15045-1-1-2in-38-1mm-45deg-aluminised-mandrel-bend,MPI_ALB15045,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,20.79,SBC450,4.5in - Single Bolt AccuSeal Clamp,sbc450-4-5in-single-bolt-accuseal-clamp,MPI_SBC450,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,fasteners-fittings,standard,20.75,FE182A,"4 Bolt Hurricane Flange 2 1/2in Centre Bore, 78mm Bolt Hole Centres",fe182a-4-bolt-hurricane-flange-2-1-2in-centre-bore-78mm-bolt-hole-centres,MPI_FE182A,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,yes,MPI Automotive,mpi,extractors-headers,rich,20.32,EMG159,Jackaroo - Rodeo Diesel [DSF] Extractor Gasket,emg159-jackaroo-rodeo-diesel-dsf-extractor-gasket,MPI_EMG159,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
