priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,sourceUid,suggestedFilenameSku,suggestedFilenameSourceUid,title,slug,sourceUrl,mainImageUrl,reason
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,150.00,kc-fear-no-trail-zip-up-hoodie-black-2x-large,RADIUS_kc-fear-no-trail-zip-up-hoodie-black-2x-large,kc-fear-no-trail-zip-up-hoodie-black-2x-large.png,RADIUS_kc-fear-no-trail-zip-up-hoodie-black-2x-large.png,KC Fear No Trail Zip-Up Hoodie - Black - 2X-Large,kc-fear-no-trail-zip-up-hoodie-black-2x-large,https://radiusfabrications.com.au/products/kc-fear-no-trail-zip-up-hoodie-black-2x-large,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,150.00,kc-pullover-hoodie-black-2x-large,RADIUS_kc-pullover-hoodie-black-2x-large,kc-pullover-hoodie-black-2x-large.png,RADIUS_kc-pullover-hoodie-black-2x-large.png,KC Pullover Hoodie - Black - 2X-Large,kc-pullover-hoodie-black-2x-large,https://radiusfabrications.com.au/products/kc-pullover-hoodie-black-2x-large,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,150.00,kc-pullover-hoodie-black-large,RADIUS_kc-pullover-hoodie-black-large,kc-pullover-hoodie-black-large.png,RADIUS_kc-pullover-hoodie-black-large.png,KC Pullover Hoodie - Black - Large,kc-pullover-hoodie-black-large,https://radiusfabrications.com.au/products/kc-pullover-hoodie-black-large,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,150.00,kc-pullover-hoodie-black-medium,RADIUS_kc-pullover-hoodie-black-medium,kc-pullover-hoodie-black-medium.png,RADIUS_kc-pullover-hoodie-black-medium.png,KC Pullover Hoodie - Black - Medium,kc-pullover-hoodie-black-medium,https://radiusfabrications.com.au/products/kc-pullover-hoodie-black-medium,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,150.00,kc-pullover-hoodie-black-small,RADIUS_kc-pullover-hoodie-black-small,kc-pullover-hoodie-black-small.png,RADIUS_kc-pullover-hoodie-black-small.png,KC Pullover Hoodie - Black - Small,kc-pullover-hoodie-black-small,https://radiusfabrications.com.au/products/kc-pullover-hoodie-black-small,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,150.00,kc-pullover-hoodie-black-x-large,RADIUS_kc-pullover-hoodie-black-x-large,kc-pullover-hoodie-black-x-large.png,RADIUS_kc-pullover-hoodie-black-x-large.png,KC Pullover Hoodie - Black - X-Large,kc-pullover-hoodie-black-x-large,https://radiusfabrications.com.au/products/kc-pullover-hoodie-black-x-large,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,150.00,kc-women-s-weekender-zip-up-hoodie-navy-2x-large,RADIUS_kc-women-s-weekender-zip-up-hoodie-navy-2x-large,kc-women-s-weekender-zip-up-hoodie-navy-2x-large.png,RADIUS_kc-women-s-weekender-zip-up-hoodie-navy-2x-large.png,KC Women’s Weekender Zip-Up Hoodie - Navy - 2X-Large,kc-women-s-weekender-zip-up-hoodie-navy-2x-large,https://radiusfabrications.com.au/products/kc-women-s-weekender-zip-up-hoodie-navy-2x-large,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,150.00,kc-women-s-weekender-zip-up-hoodie-navy-large,RADIUS_kc-women-s-weekender-zip-up-hoodie-navy-large,kc-women-s-weekender-zip-up-hoodie-navy-large.png,RADIUS_kc-women-s-weekender-zip-up-hoodie-navy-large.png,KC Women’s Weekender Zip-Up Hoodie - Navy - Large,kc-women-s-weekender-zip-up-hoodie-navy-large,https://radiusfabrications.com.au/products/kc-women-s-weekender-zip-up-hoodie-navy-large,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,150.00,kc-women-s-weekender-zip-up-hoodie-navy-medium,RADIUS_kc-women-s-weekender-zip-up-hoodie-navy-medium,kc-women-s-weekender-zip-up-hoodie-navy-medium.png,RADIUS_kc-women-s-weekender-zip-up-hoodie-navy-medium.png,KC Women’s Weekender Zip-Up Hoodie - Navy - Medium,kc-women-s-weekender-zip-up-hoodie-navy-medium,https://radiusfabrications.com.au/products/kc-women-s-weekender-zip-up-hoodie-navy-medium,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Radius Fabrications,radius,exhaust-pipes-tips,rich,150.00,kc-women-s-weekender-zip-up-hoodie-navy-small,RADIUS_kc-women-s-weekender-zip-up-hoodie-navy-small,kc-women-s-weekender-zip-up-hoodie-navy-small.png,RADIUS_kc-women-s-weekender-zip-up-hoodie-navy-small.png,KC Women’s Weekender Zip-Up Hoodie - Navy - Small,kc-women-s-weekender-zip-up-hoodie-navy-small,https://radiusfabrications.com.au/products/kc-women-s-weekender-zip-up-hoodie-navy-small,,No matched ZIP image candidate or usable remote image URL
